darija,phoneticTranscription,translations.english,translations.french,translations.spanish,translations.italian,translations.german,category.english,category.french,category.spanish,category.italian,category.german,scenario.english,scenario.french,scenario.spanish,scenario.italian,scenario.german,pictureLink,likes,difficulty,estimated_difficulty,__v,updatedAt,cultural_context,meaning_details,usage_contexts,related_content
فين الحمام؟,Fin l-hammam?,Where is the bathroom?,Où sont les toilettes ?,¿Dónde está el baño?,Dov'è il bagno?,Wo ist die Toilette?,Directions,Directions,Direcciones,Indicazioni,Wegbeschreibung,Asking for bathroom directions,Demander où sont les toilettes,Preguntar por el baño,Chiedere dov'è il bagno,Nach der Toilette fragen,/images/bathroom.jpg,12,intermediate,medium,0,,"{'explanation': ""The phrase 'فين الحمام؟' is essential for tourists visiting Morocco, especially when navigating Directions situations like Asking for bathroom directions."", 'examples': [""Example in a souk (market): 'فين الحمام؟' - used to ask for prices or greetings."", ""Polite interaction: 'فين الحمام؟!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'فين الحمام؟' is 'Where is the bathroom?'."", 'figurative': ""In a tourist context, it can imply 'Where is the bathroom?' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'فين الحمام؟'."", ""Shortened form: 'فين'.""], 'similar_phrases': [""Phrases with similar intent: 'فين الحمام؟ or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'فين الحمام؟' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'فين الحمام؟'.""], 'regional_variations': [""In northern Morocco, 'فين الحمام؟' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'فين الحمام؟?' when asking for the menu."", ""In a taxi: 'فين الحمام؟?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'فين الحمام؟' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'فين الحمام؟' for different intents.""], 'related_phrases': [""Phrases like 'فين الحمام؟' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'فين الحمام؟ in context of 'Asking for bathroom directions'.""]}"
شحال هذا؟,Chhal hada?,How much is this?,Combien ça coûte ?,¿Cuánto cuesta esto?,Quanto costa questo?,Wie viel kostet das?,Shopping,Achats,Compras,Acquisti,Einkaufen,Asking for a price,Demander le prix,Preguntar el precio,Chiedere il prezzo,Nach dem Preis fragen,/images/price.jpg,25,beginner,medium,0,,"{'explanation': ""The phrase 'شحال هذا؟' is essential for tourists visiting Morocco, especially when navigating Shopping situations like Asking for a price."", 'examples': [""Example in a souk (market): 'شحال هذا؟' - used to ask for prices or greetings."", ""Polite interaction: 'شحال هذا؟!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'شحال هذا؟' is 'How much is this?'."", 'figurative': ""In a tourist context, it can imply 'How much is this?' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'شحال هذا؟'."", ""Shortened form: 'شحا'.""], 'similar_phrases': [""Phrases with similar intent: 'شحال هذا؟ or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'شحال هذا؟' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'شحال هذا؟'.""], 'regional_variations': [""In northern Morocco, 'شحال هذا؟' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'شحال هذا؟?' when asking for the menu."", ""In a taxi: 'شحال هذا؟?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'شحال هذا؟' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'شحال هذا؟' for different intents.""], 'related_phrases': [""Phrases like 'شحال هذا؟' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'شحال هذا؟ in context of 'Asking for a price'.""]}"
بغيت واحد القهوة,Bghit wahd l-qahwa,I want a coffee,Je voudrais un café,Quiero un café,Vorrei un caffè,Ich möchte einen Kaffee,Food and Drink,Nourriture et Boissons,Comida y Bebida,Cibo e Bevande,Essen und Trinken,Ordering coffee,Commander un café,Pedir un café,Ordinare un caffè,Einen Kaffee bestellen,/images/coffee.jpg,12,intermediate,hard,0,,"{'explanation': ""The phrase 'بغيت واحد القهوة' is essential for tourists visiting Morocco, especially when navigating Food and Drink situations like Ordering coffee."", 'examples': [""Example in a souk (market): 'بغيت واحد القهوة' - used to ask for prices or greetings."", ""Polite interaction: 'بغيت واحد القهوة!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'بغيت واحد القهوة' is 'I want a coffee'."", 'figurative': ""In a tourist context, it can imply 'I want a coffee' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'بغيت واحد القهوة'."", ""Shortened form: 'بغي'.""], 'similar_phrases': [""Phrases with similar intent: 'بغيت واحد القهوة or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'بغيت واحد القهوة' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'بغيت واحد القهوة'.""], 'regional_variations': [""In northern Morocco, 'بغيت واحد القهوة' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'بغيت واحد القهوة?' when asking for the menu."", ""In a taxi: 'بغيت واحد القهوة?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'بغيت واحد القهوة' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'بغيت واحد القهوة' for different intents.""], 'related_phrases': [""Phrases like 'بغيت واحد القهوة' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'بغيت واحد القهوة in context of 'Ordering coffee'.""]}"
فين الباْنك؟,Fin l-bank?,Where is the bank?,Où est la banque ?,¿Dónde está el banco?,Dov'è la banca?,Wo ist die Bank?,Directions,Directions,Direcciones,Indicazioni,Wegbeschreibung,Asking for bank directions,Demander où se trouve la banque,Preguntar por el banco,Chiedere dov'è la banca,Nach der Bank fragen,/images/bank.jpg,12,intermediate,medium,0,,"{'explanation': ""The phrase 'فين الباْنك؟' is essential for tourists visiting Morocco, especially when navigating Directions situations like Asking for bank directions."", 'examples': [""Example in a souk (market): 'فين الباْنك؟' - used to ask for prices or greetings."", ""Polite interaction: 'فين الباْنك؟!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'فين الباْنك؟' is 'Where is the bank?'."", 'figurative': ""In a tourist context, it can imply 'Where is the bank?' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'فين الباْنك؟'."", ""Shortened form: 'فين'.""], 'similar_phrases': [""Phrases with similar intent: 'فين الباْنك؟ or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'فين الباْنك؟' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'فين الباْنك؟'.""], 'regional_variations': [""In northern Morocco, 'فين الباْنك؟' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'فين الباْنك؟?' when asking for the menu."", ""In a taxi: 'فين الباْنك؟?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'فين الباْنك؟' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'فين الباْنك؟' for different intents.""], 'related_phrases': [""Phrases like 'فين الباْنك؟' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'فين الباْنك؟ in context of 'Asking for bank directions'.""]}"
بغيت نمشي للسوق,Bghit nemshi l-suq,I want to go to the market,Je veux aller au marché,Quiero ir al mercado,Voglio andare al mercato,Ich möchte zum Markt gehen,Shopping,Achats,Compras,Acquisti,Einkaufen,Expressing desire to go to the market,Exprimer le désir d'aller au marché,Expresar el deseo de ir al mercado,Esprimere il desiderio di andare al mercato,"Den Wunsch äußern, zum Markt zu gehen",/images/market.jpg,12,intermediate,medium,0,,"{'explanation': ""The phrase 'بغيت نمشي للسوق' is essential for tourists visiting Morocco, especially when navigating Shopping situations like Expressing desire to go to the market."", 'examples': [""Example in a souk (market): 'بغيت نمشي للسوق' - used to ask for prices or greetings."", ""Polite interaction: 'بغيت نمشي للسوق!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'بغيت نمشي للسوق' is 'I want to go to the market'."", 'figurative': ""In a tourist context, it can imply 'I want to go to the market' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'بغيت نمشي للسوق'."", ""Shortened form: 'بغي'.""], 'similar_phrases': [""Phrases with similar intent: 'بغيت نمشي للسوق or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'بغيت نمشي للسوق' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'بغيت نمشي للسوق'.""], 'regional_variations': [""In northern Morocco, 'بغيت نمشي للسوق' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'بغيت نمشي للسوق?' when asking for the menu."", ""In a taxi: 'بغيت نمشي للسوق?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'بغيت نمشي للسوق' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'بغيت نمشي للسوق' for different intents.""], 'related_phrases': [""Phrases like 'بغيت نمشي للسوق' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'بغيت نمشي للسوق in context of 'Expressing desire to go to the market'.""]}"
شنو سميتك؟,Shnu smitek?,What's your name?,Comment t'appelles-tu ?,¿Cómo te llamas?,Come ti chiami?,Wie heißt du?,Introductions,Présentations,Presentaciones,Presentazioni,Vorstellungen,Asking for someone's name,Demander le nom de quelqu'un,Preguntar el nombre de alguien,Chiedere il nome di qualcuno,Nach dem Namen fragen,/images/name.jpg,12,intermediate,medium,0,,"{'explanation': ""The phrase 'شنو سميتك؟' is essential for tourists visiting Morocco, especially when navigating Introductions situations like Asking for someone's name."", 'examples': [""Example in a souk (market): 'شنو سميتك؟' - used to ask for prices or greetings."", ""Polite interaction: 'شنو سميتك؟!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'شنو سميتك؟' is 'What's your name?'."", 'figurative': ""In a tourist context, it can imply 'What's your name?' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'شنو سميتك؟'."", ""Shortened form: 'شنو'.""], 'similar_phrases': [""Phrases with similar intent: 'شنو سميتك؟ or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'شنو سميتك؟' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'شنو سميتك؟'.""], 'regional_variations': [""In northern Morocco, 'شنو سميتك؟' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'شنو سميتك؟?' when asking for the menu."", ""In a taxi: 'شنو سميتك؟?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'شنو سميتك؟' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'شنو سميتك؟' for different intents.""], 'related_phrases': [""Phrases like 'شنو سميتك؟' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'شنو سميتك؟ in context of 'Asking for someone's name'.""]}"
سميتي,Smiti,My name is,Je m'appelle,Me llamo,Mi chiamo,Ich heiße,Introductions,Présentations,Presentaciones,Presentazioni,Vorstellungen,Introducing oneself,Se présenter,Presentarse,Presentarsi,Sich vorstellen,/images/introduce.jpg,25,beginner,easy,0,,"{'explanation': ""The phrase 'سميتي' is essential for tourists visiting Morocco, especially when navigating Introductions situations like Introducing oneself."", 'examples': [""Example in a souk (market): 'سميتي' - used to ask for prices or greetings."", ""Polite interaction: 'سميتي!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'سميتي' is 'My name is'."", 'figurative': ""In a tourist context, it can imply 'My name is' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'سميتي'."", ""Shortened form: 'سمي'.""], 'similar_phrases': [""Phrases with similar intent: 'سميتي or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'سميتي' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'سميتي'.""], 'regional_variations': [""In northern Morocco, 'سميتي' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'سميتي?' when asking for the menu."", ""In a taxi: 'سميتي?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'سميتي' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'سميتي' for different intents.""], 'related_phrases': [""Phrases like 'سميتي' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'سميتي in context of 'Introducing oneself'.""]}"
واش كتهضر إنجليزية؟,Wash kat-hdar ingliziya?,Do you speak English?,Parlez-vous anglais ?,¿Hablas inglés?,Parli inglese?,Sprechen Sie Englisch?,Language,Langue,Idioma,Lingua,Sprache,Asking about language skills,Demander des compétences linguistiques,Preguntar sobre habilidades lingüísticas,Chiedere delle competenze linguistiche,Nach Sprachkenntnissen fragen,/images/language.jpg,12,intermediate,hard,0,,"{'explanation': ""The phrase 'واش كتهضر إنجليزية؟' is essential for tourists visiting Morocco, especially when navigating Language situations like Asking about language skills."", 'examples': [""Example in a souk (market): 'واش كتهضر إنجليزية؟' - used to ask for prices or greetings."", ""Polite interaction: 'واش كتهضر إنجليزية؟!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'واش كتهضر إنجليزية؟' is 'Do you speak English?'."", 'figurative': ""In a tourist context, it can imply 'Do you speak English?' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'واش كتهضر إنجليزية؟'."", ""Shortened form: 'واش'.""], 'similar_phrases': [""Phrases with similar intent: 'واش كتهضر إنجليزية؟ or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'واش كتهضر إنجليزية؟' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'واش كتهضر إنجليزية؟'.""], 'regional_variations': [""In northern Morocco, 'واش كتهضر إنجليزية؟' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'واش كتهضر إنجليزية؟?' when asking for the menu."", ""In a taxi: 'واش كتهضر إنجليزية؟?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'واش كتهضر إنجليزية؟' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'واش كتهضر إنجليزية؟' for different intents.""], 'related_phrases': [""Phrases like 'واش كتهضر إنجليزية؟' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'واش كتهضر إنجليزية؟ in context of 'Asking about language skills'.""]}"
بغيت نحجز طاولة,Bghit n-hjez tabla,I want to reserve a table,Je voudrais réserver une table,Quiero reservar una mesa,Vorrei prenotare un tavolo,Ich möchte einen Tisch reservieren,Dining,Restaurant,Restaurante,Ristorante,Restaurant,Making a restaurant reservation,Faire une réservation au restaurant,Hacer una reserva en un restaurante,Prenotare un tavolo al ristorante,Einen Tisch im Restaurant reservieren,/images/restaurant_reservation.jpg,12,intermediate,medium,0,,"{'explanation': ""The phrase 'بغيت نحجز طاولة' is essential for tourists visiting Morocco, especially when navigating Dining situations like Making a restaurant reservation."", 'examples': [""Example in a souk (market): 'بغيت نحجز طاولة' - used to ask for prices or greetings."", ""Polite interaction: 'بغيت نحجز طاولة!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'بغيت نحجز طاولة' is 'I want to reserve a table'."", 'figurative': ""In a tourist context, it can imply 'I want to reserve a table' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'بغيت نحجز طاولة'."", ""Shortened form: 'بغي'.""], 'similar_phrases': [""Phrases with similar intent: 'بغيت نحجز طاولة or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'بغيت نحجز طاولة' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'بغيت نحجز طاولة'.""], 'regional_variations': [""In northern Morocco, 'بغيت نحجز طاولة' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'بغيت نحجز طاولة?' when asking for the menu."", ""In a taxi: 'بغيت نحجز طاولة?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'بغيت نحجز طاولة' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'بغيت نحجز طاولة' for different intents.""], 'related_phrases': [""Phrases like 'بغيت نحجز طاولة' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'بغيت نحجز طاولة in context of 'Making a restaurant reservation'.""]}"
فين الصيدلية؟,Fin s-saydaliya?,Where is the pharmacy?,Où est la pharmacie ?,¿Dónde está la farmacia?,Dov'è la farmacia?,Wo ist die Apotheke?,Health,Santé,Salud,Salute,Gesundheit,Asking for pharmacy directions,Demander où se trouve la pharmacie,Preguntar por la farmacia,Chiedere indicazioni per la farmacia,Nach dem Weg zur Apotheke fragen,/images/pharmacy.jpg,12,intermediate,medium,0,,"{'explanation': ""The phrase 'فين الصيدلية؟' is essential for tourists visiting Morocco, especially when navigating Health situations like Asking for pharmacy directions."", 'examples': [""Example in a souk (market): 'فين الصيدلية؟' - used to ask for prices or greetings."", ""Polite interaction: 'فين الصيدلية؟!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'فين الصيدلية؟' is 'Where is the pharmacy?'."", 'figurative': ""In a tourist context, it can imply 'Where is the pharmacy?' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'فين الصيدلية؟'."", ""Shortened form: 'فين'.""], 'similar_phrases': [""Phrases with similar intent: 'فين الصيدلية؟ or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'فين الصيدلية؟' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'فين الصيدلية؟'.""], 'regional_variations': [""In northern Morocco, 'فين الصيدلية؟' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'فين الصيدلية؟?' when asking for the menu."", ""In a taxi: 'فين الصيدلية؟?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'فين الصيدلية؟' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'فين الصيدلية؟' for different intents.""], 'related_phrases': [""Phrases like 'فين الصيدلية؟' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'فين الصيدلية؟ in context of 'Asking for pharmacy directions'.""]}"
